,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
254,2.0585,1.6177,1.5733,,,,,,,,,,,,,,,,,,,
255,,,,3.4770,2.9152,2.2903,,,,,,,,,,,,,,,,
1,,39.2921,38.2154,,,,,,,,,,,,,,,,,,,
2,50.0000,,38.2154,,,,,,,,,,,,,,,,,,,
3,,39.2921,,26.3509,,,,,,,,,,,,,,,,,,
4,50.0000,,,,22.0937,,,,,,,,,,,,,,,,,
5,,,,26.3509,,17.3579,,,,,,,,,,,,,,,,
6,,,,,22.0937,,11.7547,,,,,,,,,,,,,,,
7,,,,,,17.3579,,9.5414,,,,,,,,,,,,,,
8,,,,,,,11.7547,,9.1127,,,,,,,,,,,,,
9,,,,,,,,9.5414,,5.9222,,,,,,,,,,,,
10,,,,,,,,,9.1127,,2.9910,,,,,,,,,,,
11,,,,,,,,,,5.9222,,2.4626,,,,,,,,,,
12,,,,,,,,,,,2.9910,,2.3829,,,,,,,,,
13,,,,,,,,,,,,2.4626,,2.3829,,,,,,,,
14,,,,,,,,,,,,,2.3829,,1.7149,,,,,,,
15,,,,,,,,,,,,,,2.3829,,1.6152,,,,,,
16,,,,,,,,,,,,,,,1.7149,,1.3858,,,,,
17,,,,,,,,,,,,,,,,1.6152,,1.1067,,,,
18,,,,,,,,,,,,,,,,,1.3858,,0.9272,,,
19,,,,,,,,,,,,,,,,,,1.1067,,,,0.2293
20,,,,,,,,,,,,,,,,,,,0.9272,,0.3689,
21,,,,,,,,,,,,,,,,,,,,0.5484,,0.2293
22,,,,,,,,,,,,,,,,,,,,0.5484,0.3689,
